y,v,u,z
3.1,2.5,0.0,3.1
3.063335044430451,-0.036664955569549296,-2.5366649555695493,3.063335044430451
3.058223577224458,-0.005111467205992856,0.03155348836355644,3.058223577224458
3.05320497726245,-0.005018599962007916,9.286724398493972e-05,3.05320497726245
3.0486228442397536,-0.0045821330226963435,0.00043646693931157323,3.0486228442397536
3.0444352873280787,-0.00418755691167507,0.0003945761110212738,3.0444352873280787
3.0406083769693892,-0.003826910358689543,0.00036064655298552684,3.0406083769693892
3.037111052474951,-0.0034973244944383978,0.0003295858642511453,3.037111052474951
3.0339149288542178,-0.0031961236207331306,0.0003012008737052671,3.0339149288542178
3.0309940657156784,-0.0029208631385394786,0.0002752604821936518,3.0309940657156784
3.028324756738162,-0.0026693089775164424,0.00025155416102303635,3.028324756738162
3.0258853372653918,-0.0024394194727701927,0.00022988950474624946,3.0258853372653918
3.0236560084712156,-0.0022293287941761966,0.00021009067859399598,3.0236560084712156
3.021618676668293,-0.0020373318029224784,0.00019199699125371843,3.021618676668293
3.019756806456038,-0.0018618702122551417,0.00017546159066733662,3.019756806456038
3.0180552865159327,-0.0017015199401051808,0.00016035027214996082,3.0180552865159327
3.0165003069649847,-0.00155497955094775,0.00014654038915743085,3.0165003069649847
3.0150792472718986,-0.0014210596930860485,0.00013391985786170152,3.0150792472718986
3.0137805738262684,-0.0012986734456302078,0.00012238624745584072,3.0137805738262684
3.012593746329443,-0.0011868274968255869,0.00011184594880462087,3.012593746329443
3.011509132247311,-0.0010846140821319187,0.00010221341469366826,3.011509132247311
3.0105179286306902,-0.0009912036166210675,9.34104655108511e-05,3.0105179286306902
3.0096120906687935,-0.0009058379618965754,8.536565472449219e-05,3.0096120906687935
3.008784266395906,-0.0008278242728876203,7.801368900895511e-05,3.008784266395906
3.008027737021329,-0.0007565293745772451,7.129489831037515e-05,3.008027737021329
3.0073363623983047,-0.000691374623024535,6.51547515527101e-05,3.0073363623983047
3.006704531189332,-0.0006318312089724551,5.954341405207987e-05,3.006704531189332
3.006127115323408,-0.0005774158659239804,5.441534304847472e-05,3.006127115323408
3.005599428375555,-0.000527686947852667,4.972891807131338e-05,3.005599428375555
3.005117187530842,-0.00048224084471334516,4.54461031393218e-05,3.005117187530842
3.004676478824181,-0.0004407087066606285,4.1532138052716667e-05,3.004676478824181
3.0042737253737926,-0.00040275345038833014,3.795525627229836e-05,3.0042737253737926
3.0039056583505,-0.0003680670232925773,3.468642709575284e-05,3.0039056583505
3.003569290447246,-0.0003363679032540682,3.169912003850914e-05,3.003569290447246
3.0032618916334988,-0.00030739881374703955,2.8969089507028657e-05,3.0032618916334988
3.002980966997768,-0.0002809246357304966,2.6474178016542907e-05,3.002980966997768
3.002724236498394,-0.0002567304993741881,2.419413635630852e-05,3.002724236498394
3.002489616458263,-0.00023462004013117903,2.211045924300907e-05,3.002489616458263
3.00227520265326,-0.00021441380500306653,2.0206235128112506e-05,3.00227520265326
3.0020792548571973,-0.00019594779606290705,1.846600894015949e-05,3.0020792548571973
3.0019001827177827,-0.00017907213941454047,1.6875656648366582e-05,3.0019001827177827
3.001736532848997,-0.00016364986878546773,1.5422270629072753e-05,3.001736532848997
3.0015869770351165,-0.0001495558138806998,1.4094054904767948e-05,3.0015869770351165
3.0014503014506415,-0.00013667558447506045,1.2880229405639352e-05,3.0014503014506415
3.001325396808643,-0.00012490464199874885,1.17709424763116e-05,3.001325396808643
3.001211249357562,-0.00011414745108101007,1.0757190917738784e-05,3.001211249357562
3.0011069326533963,-0.00010431670416557089,9.83074691543918e-06,3.0011069326533963
3.0010116000404916,-9.53326129047436e-05,8.984091260827285e-06,3.0010116000404916
3.0009244777799107,-8.71222605808155e-05,8.21035232392811e-06,3.0009244777799107
3.0008448587696117,-7.96190102991786e-05,7.503250281636893e-06,3.0008448587696117
3.000772096805462,-7.276196414971307e-05,6.857046149465524e-06,3.000772096805462
3.000705601336515,-6.64954689467723e-05,6.266495202940775e-06,3.000705601336515
3.0006448326719783,-6.0768664536801426e-05,5.72680440997088e-06,3.0006448326719783
3.0005892976009716,-5.5535071006738225e-05,5.233593530063198e-06,3.0005892976009716
3.000538545389528,-5.075221144371079e-05,4.7828595630274315e-06,3.000538545389528
3.000492164122344,-4.6381267183664735e-05,4.370944260046053e-06,3.000492164122344
3.000449777359593,-4.2386762751168674e-05,3.9945044324960585e-06,3.000449777359593
3.0004110410816596,-3.873627793327813e-05,3.6504848178905483e-06,3.0004110410816596
3.0003756408970093,-3.5400184650409946e-05,3.3360932828681805e-06,3.0003756408970093
3.0003432894905204,-3.2351406488820796e-05,3.0487781615891515e-06,3.0003432894905204
3.0003137242915776,-2.9565198942895834e-05,2.7862075459249628e-06,3.0003137242915776
3.000286705342994,-2.7018948583744212e-05,2.5462503591516203e-06,3.000286705342994
3.00026201335347,-2.469198952392176e-05,2.326959059822451e-06,3.00026201335347
3.000239447917781,-2.2565435688971963e-05,2.1265538349497972e-06,3.000239447917781
3.000218825890247,-2.0622027534052292e-05,1.9434081549196703e-06,3.000218825890247
3.000199979898285,-1.8845991962074893e-05,1.7760355719773998e-06,3.000199979898285
3.000182756983979,-1.7222914305979423e-05,1.6230776560954706e-06,3.000182756983979
3.0001670173626427,-1.5739621336373804e-05,1.483292969605619e-06,3.0001670173626427
3.0001526332882977,-1.4384074344841926e-05,1.3555469915318766e-06,3.0001526332882977
3.0001394880168624,-1.3145271435457112e-05,1.238802909384814e-06,3.0001394880168624
3.0001274748586315,-1.2013158231071747e-05,1.1321132043853659e-06,3.0001274748586315
3.0001164963123617,-1.0978546269927558e-05,1.0346119611441899e-06,3.0001164963123617
3.0001064632739314,-1.0033038430231935e-05,9.455078396956236e-07,3.0001064632739314
3.000097294313154,-9.168960777451824e-06,8.640776527801114e-07,3.000097294313154
3.000088915012873,-8.379300281089706e-06,7.896604963621179e-07,3.000088915012873
3.0000812573649775,-7.657647895401405e-06,7.216523856883019e-07,3.0000812573649775
3.0000742592184353,-6.998146542426181e-06,6.595013529752236e-07,3.0000742592184353
3.0000678637748606,-6.3954435746198745e-06,6.027029678063059e-07,3.0000678637748606
3.0000620191275287,-5.8446473316930785e-06,5.507962429267961e-07,3.0000620191275287
3.0000566778400897,-5.3412874389786665e-06,5.033598927144121e-07,3.0000566778400897
3.0000517965615647,-4.881278524910154e-06,4.6000891406851293e-07,3.0000517965615647
3.0000473356745014,-4.460887063270362e-06,4.203914616397913e-07,3.0000473356745014
3.00004325897343,-4.0767010711848375e-06,3.841859920855242e-07,3.00004325897343
3.0000395333710133,-3.7256024167412646e-06,3.5109865444357263e-07,3.0000395333710133
3.0000361286295014,-3.4047415116562253e-06,3.208609050850395e-07,3.0000361286295014
3.0000330171153182,-3.1115141833333342e-06,2.932273283228911e-07,3.0000330171153182
3.000030173574779,-2.843540538989434e-06,2.679736443439003e-07,3.000030173574779
3.0000275749291294,-2.5986456498062427e-06,2.448948891831911e-07,3.0000275749291294
3.0000252000872303,-2.3748418989217542e-06,2.238037508844886e-07,3.0000252000872303
3.000023029774381,-2.170312849403104e-06,2.0452904951865033e-07,3.000023029774381
3.000021046375879,-1.983398501793525e-06,1.8691434760957924e-07,3.000021046375879
3.000019233794058,-1.8125818210897656e-06,1.7081668070375925e-07,3.000019233794058
3.0000175773176334,-1.6564764242736069e-06,1.5610539681615874e-07,3.0000175773176334
3.000016063502305,-1.5138153280671328e-06,1.4266109620647396e-07,3.000016063502305
3.000014680061639,-1.3834406659321678e-06,1.30374662134965e-07,3.000014680061639
3.0000134157673486,-1.264294290508022e-06,1.1914637542414579e-07,3.0000134157673486
3.000012260358163,-1.15540918549921e-06,1.088851050088119e-07,3.000012260358163
3.0000112044565457,-1.0559016171704033e-06,9.950756832880678e-08,3.0000112044565457
3.000010239492584,-9.649639618088835e-07,9.093765536151967e-08,3.000010239492584
3.000009357634433,-8.818581508654155e-07,8.310581094346803e-08,3.000009357634433
3.0000085517247523,-8.059096805736404e-07,7.594847029177501e-08,3.0000085517247523
3.000007815222615,-7.365021376691879e-07,6.940754290445252e-08,3.000007815222615
3.0000071421504186,-6.730721964149539e-07,6.34299412542339e-08,3.0000071421504186
3.000006527045372,-6.151050464349063e-07,5.796714998004758e-08,3.000006527045372
3.000005964915158,-5.621302144886071e-07,5.297483194629922e-08,3.000005964915158
3.0000054511974117,-5.137177460654912e-07,4.8412468423115953e-08,3.0000054511974117
3.000004981722696,-4.6947471566694383e-07,4.424303039854735e-08,3.000004981722696
3.0000045526806582,-4.290420378628023e-07,4.043267780414156e-08,3.0000045526806582
3.0000041605891057,-3.9209155276020903e-07,3.695048510259325e-08,3.0000041605891057
3.000003802265743,-3.583233627186872e-07,3.376819004152185e-08,3.000003802265743
3.000003474802345,-3.274633981935774e-07,3.085996452510977e-08,3.000003474802345
3.0000031755411514,-2.9926119340439823e-07,2.820220478917917e-08,3.0000031755411514
3.0000029020532977,-2.7348785349979993e-07,2.5773339904598303e-08,3.0000029020532977
3.0000026521191008,-2.4993419681559256e-07,2.355365668420739e-08,3.0000026521191008
3.0000024237100438,-2.2840905707838206e-07,2.1525139737210487e-08,3.0000024237100438
3.000002214972312,-2.0873773186444858e-07,1.9671325213933486e-08,3.000002214972312
3.000002024211747,-1.9076056465249577e-07,1.797716721195281e-08,3.000002024211747
3.000001849880098,-1.7433164911368251e-07,1.6428915538813246e-08,3.000001849880098
3.000001690562453,-1.5931764480976e-07,1.5014004303922505e-08,3.000001690562453
3.000001544965758,-1.4559669501281278e-07,1.3720949796947233e-08,3.000001544965758
3.0000014119083205,-1.3305743769128365e-07,1.253925732152913e-08,3.0000014119083205
3.0000012903102187,-1.2159810170983137e-07,1.1459335981452276e-08,3.0000012903102187
3.000001179184538,-1.1112568070521471e-07,1.0472421004616653e-08,3.000001179184538
3.0000010776293595,-1.0155517841204652e-07,9.570502293168198e-09,3.0000010776293595
